Customer Age,Experience,Income,Family Size,Average Credit Card Expenditure,Education Level,Mortgage Loan Amount,Securities Account,Certificate of Deposit Account,Online Banking Usage,CreditCard,Personal_Loan
50,24,83,2,0.4,3,0,0,0,1,0,0
50,26,21,1,0.2,1,0,0,0,1,0,0
60,34,33,2,0.3,1,101,0,0,1,0,0
58,32,43,1,2.8,2,0,0,0,1,0,0
63,37,21,2,0.4,1,0,0,0,1,0,0
61,35,35,2,0.2,3,0,0,0,1,0,0
48,22,83,2,0.4,3,248,0,0,1,0,0
43,18,42,1,0.3,3,0,0,0,1,0,0
56,32,65,2,3.2,3,0,0,0,1,0,0
64,40,8,2,0.3,3,0,0,0,1,0,0
45,15,20,1,0.75,3,0,0,0,1,0,0
59,35,18,1,1.2,3,0,0,0,1,0,0
50,24,62,2,0.8,3,0,0,0,1,0,0
63,38,31,1,1.1,3,125,0,0,1,0,0
56,32,28,1,1.2,3,0,0,0,1,0,0
57,33,25,2,1,1,0,0,0,1,0,0
59,33,34,1,0.2,1,0,0,0,1,0,0
48,22,35,1,1.4,3,0,0,0,1,0,0
58,28,75,1,1.4,3,0,0,0,1,0,0
50,26,21,1,0.2,1,89,0,0,1,0,0
56,32,15,1,0.1,2,0,0,0,1,0,0
45,15,32,1,0.75,3,105,0,0,1,0,0
58,34,11,2,0.3,1,96,0,0,1,0,0
60,35,44,2,1.6,3,170,0,0,1,0,0
43,18,22,2,0.3,2,0,0,0,1,0,0
50,26,42,1,1.6,2,0,0,0,1,0,0
50,23,25,1,0.5,2,0,0,0,1,0,0
54,30,28,2,0.8,1,0,0,0,1,0,0
44,18,71,2,0.8,3,0,0,0,1,0,0
57,32,24,2,0.2,3,140,0,0,1,0,0
53,27,59,2,0.8,3,0,0,0,1,0,0
44,19,28,1,0.3,3,0,0,0,1,0,0
53,29,22,2,0.4,1,0,0,0,1,0,0
55,30,40,2,2.3,3,0,1,0,1,0,0
51,25,21,2,0.4,3,76,1,0,1,0,0
46,21,34,1,0.1,1,124,0,0,1,0,0
45,20,30,1,0.1,1,0,0,0,1,0,0
64,38,35,1,0.5,3,0,0,0,1,0,0
52,27,39,2,0.7,2,166,0,0,1,0,0
55,31,23,2,0.2,1,0,0,0,1,0,0
48,22,65,2,1.5,2,0,0,0,1,0,0
60,30,28,1,1.5,3,124,1,0,1,0,0
50,26,42,2,1,3,78,1,0,1,0,0
54,29,48,2,2.1,3,142,0,0,1,0,0
55,30,44,2,2,2,0,0,0,1,0,0
47,22,35,2,1.3,1,0,0,0,1,0,0
47,22,22,1,0.4,3,0,0,0,1,0,0
57,32,33,1,1.5,2,0,0,0,1,0,0
64,38,42,2,0.7,3,137,0,0,1,0,0
47,23,40,2,2.1,3,156,0,0,1,0,0
51,26,14,2,0,1,103,0,0,1,0,0
55,30,50,2,2.1,3,0,0,0,1,0,0
61,37,9,2,0.3,3,0,0,0,1,0,0
59,33,42,1,0.8,2,0,0,0,1,0,0
47,22,25,1,0.1,1,148,0,0,1,0,0
44,19,30,1,0.5,3,0,0,0,1,0,0
58,33,61,2,2.3,3,193,0,0,1,0,0
57,33,9,1,0.1,2,91,1,0,1,0,0
63,37,8,1,0.8,2,97,0,0,1,0,0
47,21,53,1,1.5,2,0,0,0,1,0,0
50,25,32,2,0.7,2,0,0,0,1,0,0
52,28,62,1,1.8,3,0,0,0,1,0,0
50,23,9,1,0.5,2,98,0,0,1,0,0
46,22,18,1,0.9,3,0,0,0,1,0,0
59,33,68,2,2.3,3,128,1,0,1,0,0
53,28,48,2,1.9,2,0,0,0,1,0,0
64,40,43,1,1.9,2,0,0,0,1,0,0
62,38,43,1,1.9,2,0,0,0,1,0,0
58,33,43,2,1.6,3,0,0,0,1,0,0
59,34,19,2,0.5,2,0,0,0,1,0,0
48,23,45,1,1.3,2,0,0,0,1,0,0
60,34,15,1,0.8,2,0,0,0,1,0,0
49,24,25,2,0.7,3,0,0,0,1,0,0
52,26,19,1,1.4,3,96,0,0,1,0,0
51,26,43,1,1.3,2,123,0,0,1,0,0
50,26,55,1,1.6,2,0,0,0,1,0,0
48,23,79,2,3.8,3,0,0,0,1,0,0
51,24,21,2,1,2,0,0,0,1,0,0
45,20,41,1,0.3,1,0,0,0,1,0,0
62,38,65,1,0,2,0,0,0,1,0,0
58,34,35,1,1.2,3,0,0,0,1,0,0
59,35,58,1,0,2,0,0,0,1,0,0
56,30,34,2,0.7,2,0,0,0,1,0,0
45,21,29,1,0.3,3,0,0,0,1,0,0
46,21,39,2,1.3,1,101,0,0,1,0,0
42,18,22,1,1.4,3,0,0,0,1,0,0
50,25,34,1,1.3,2,0,0,0,1,0,0
50,25,44,2,0.7,2,192,0,0,1,0,0
43,18,41,1,0.3,3,0,0,0,1,0,0
56,31,49,2,1.6,3,103,0,0,1,0,0
49,24,42,2,0.7,2,0,0,0,1,0,0
51,26,42,1,1.3,2,0,0,0,1,0,0
51,24,23,1,0.5,2,0,0,0,1,0,0
62,37,38,1,1.1,3,0,0,0,1,0,0
57,33,55,1,1.8,3,0,0,0,1,0,0
63,37,45,2,0.7,3,0,0,0,1,0,0
54,29,35,1,1.5,2,0,0,0,1,0,0
57,33,15,2,0.3,1,0,0,0,1,0,0
41,16,13,2,0,3,0,0,0,1,0,0
52,27,33,2,2,2,0,0,0,1,0,0
64,40,58,1,1.8,3,0,0,0,1,0,0
46,21,68,1,0.2,2,0,0,0,1,0,0
47,22,78,1,0.2,2,0,0,0,1,0,0
47,21,65,1,1.5,2,0,1,0,1,0,0
60,30,31,1,1.5,3,0,0,0,1,0,0
62,37,11,1,0.1,1,0,0,0,1,0,0
60,35,20,1,1.3,1,0,0,0,1,0,0
51,27,53,1,1.6,2,0,0,0,1,0,0
65,35,23,1,1.5,3,0,0,0,1,0,0
51,25,70,1,0.8,3,0,1,0,1,0,0
62,36,92,2,0.7,2,0,0,0,1,0,0
43,18,38,1,0.5,3,144,0,0,1,0,0
