Age,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard,DBSCAN_Cluster
25,49,4,1.6,1,0,0,1,0,0,0,0
45,34,3,1.5,1,0,0,1,0,0,0,1
39,11,1,1.0,1,0,0,0,0,0,0,2
35,100,1,2.7,2,0,0,0,0,0,0,2
35,45,4,1.0,2,0,0,0,0,0,1,0
37,29,4,0.4,2,155,0,0,0,1,0,0
53,72,2,1.5,2,0,0,0,0,1,0,3
50,22,1,0.3,3,0,0,0,0,0,1,2
35,81,3,0.6,2,104,0,0,0,1,0,1
34,180,1,8.9,3,0,1,0,0,0,0,4
65,105,4,2.4,3,0,0,0,0,0,0,0
29,45,3,0.1,2,0,0,0,0,1,0,1
48,114,2,3.8,3,0,0,1,0,0,0,3
59,40,4,2.5,2,0,0,0,0,1,0,0
67,112,1,2.0,1,0,0,1,0,0,0,2
60,22,1,1.5,3,0,0,0,0,1,1,2
38,130,4,4.7,3,134,1,0,0,0,0,4
42,81,4,2.4,1,0,0,0,0,0,0,0
46,193,2,8.1,3,0,1,0,0,0,0,4
55,21,1,0.5,2,0,0,1,0,0,1,2
56,25,4,0.9,2,111,0,0,0,1,0,0
57,63,3,2.0,3,0,0,0,0,1,0,1
29,62,1,1.2,1,260,0,0,0,1,0,2
44,43,2,0.7,1,163,0,1,0,0,0,3
36,152,2,3.9,1,159,0,0,0,0,1,3
43,29,3,0.5,1,97,0,0,0,1,0,1
40,83,4,0.2,3,0,0,0,0,0,0,0
46,158,1,2.4,1,0,0,0,0,1,1,2
56,48,1,2.2,3,0,0,0,0,1,1,2
38,119,1,3.3,2,0,1,0,1,1,1,4
59,35,1,1.2,3,122,0,0,0,1,0,2
40,29,1,2.0,2,0,0,0,0,1,0,2
53,41,2,0.6,3,193,0,0,0,0,0,3
30,18,3,0.9,3,0,0,0,0,0,0,1
31,50,4,1.8,3,0,0,0,0,1,0,0
48,81,3,0.7,1,0,0,0,0,0,0,1
59,121,1,2.9,1,0,0,0,0,0,1,2
51,71,1,1.4,3,198,0,0,0,0,0,2
38,80,4,0.7,3,285,0,0,0,1,0,0
57,84,3,1.6,3,0,0,1,0,0,0,1
34,60,3,2.3,1,0,0,0,0,0,0,1
32,132,4,1.1,2,412,1,0,0,1,0,4
39,45,1,0.7,1,0,0,0,0,1,0,2
46,104,1,5.7,1,0,0,0,0,1,1,2
57,52,4,2.5,1,0,0,0,0,0,1,0
39,43,3,0.7,2,153,0,0,0,1,0,1
37,194,4,0.2,3,211,1,1,1,1,1,4
40,49,1,1.8,1,0,0,0,0,0,1,2
32,8,4,0.7,2,0,0,1,0,1,0,0
61,131,1,2.9,1,0,0,0,0,1,0,2
30,72,1,0.1,1,207,0,0,0,0,0,2
50,190,3,2.1,3,240,1,0,0,1,0,4
29,44,1,0.2,3,0,0,0,0,1,0,2
55,29,3,0.1,2,0,0,1,1,1,0,1
56,131,2,1.2,3,0,1,0,0,0,0,4
28,93,2,0.2,1,0,0,0,0,0,0,3
31,188,2,4.5,1,455,0,0,0,0,0,3
49,39,3,1.7,2,0,0,1,0,1,0,1
47,125,1,5.7,1,112,0,1,0,0,0,2
42,22,1,1.0,1,0,0,0,0,0,0,2
42,32,4,0.0,2,0,0,0,0,1,0,0
47,105,2,3.3,1,0,0,0,0,0,0,3
59,131,1,3.8,1,0,0,0,0,1,1,2
62,105,2,2.8,1,336,0,0,0,0,0,3
53,45,4,2.0,3,132,0,1,0,0,0,0
47,60,3,2.1,1,0,0,0,0,1,1,1
53,20,4,0.2,1,0,0,0,0,1,0,0
42,115,1,3.5,1,0,0,0,0,0,1,2
53,69,4,1.0,2,0,0,0,0,1,0,0
44,130,1,5.0,1,0,0,0,0,0,1,2
41,85,1,4.0,3,0,0,0,0,1,1,2
28,135,2,3.3,1,0,0,0,0,0,1,3
31,135,4,3.8,2,0,1,0,1,1,1,4
58,12,3,0.3,3,0,0,0,0,0,0,1
46,29,3,0.5,2,0,0,0,0,0,0,1
54,133,2,2.6,3,0,1,0,0,0,0,4
50,19,2,0.4,1,118,0,0,0,1,0,3
60,41,4,1.3,1,174,0,0,0,1,1,0
47,40,3,2.7,2,0,0,0,0,1,0,1
41,82,1,4.0,3,0,0,0,0,1,0,2
33,50,1,2.4,2,0,0,0,0,0,0,2
46,18,1,0.9,3,0,0,0,0,1,0,2
27,109,4,1.8,3,0,0,0,0,0,0,0
40,42,4,2.2,2,126,0,0,0,0,0,0
48,78,3,1.1,1,0,0,0,0,1,0,1
65,51,2,1.1,1,0,0,0,0,1,0,3
25,113,4,2.3,3,0,0,0,0,0,1,0
55,118,4,5.6,2,0,1,0,0,1,0,4
35,29,4,1.1,3,0,0,0,0,1,0,0
43,34,3,0.6,2,0,0,0,0,0,0,1
60,64,2,1.7,3,236,0,1,0,1,0,3
65,121,1,2.0,1,0,0,0,0,0,0,2
38,48,4,0.2,3,0,0,0,0,1,0,0
41,80,1,5.2,1,0,0,0,0,0,0,2
54,161,1,2.9,1,0,0,0,0,1,0,2
49,94,1,0.3,1,0,0,0,0,1,0,2
66,15,3,0.1,3,0,0,0,0,1,0,1
48,74,1,1.2,1,0,0,0,0,1,0,2
61,30,3,1.3,2,0,0,0,0,0,0,1
53,44,3,1.0,3,198,0,0,0,1,1,1
43,22,2,0.3,2,0,0,0,0,1,0,3
56,38,4,1.3,1,166,0,0,0,1,1,0
24,35,3,0.1,2,0,0,1,0,1,0,1
43,69,4,2.9,1,0,0,0,0,1,1,0
42,43,1,0.7,1,136,0,0,0,0,0,2
33,32,1,0.6,3,166,0,0,0,1,0,2
43,49,1,2.8,1,0,0,0,0,1,0,2
41,9,3,1.0,2,0,0,0,0,0,0,1
62,45,4,1.3,2,0,0,0,0,1,0,0
40,82,3,1.0,1,309,0,0,0,0,0,1
58,92,2,2.8,1,103,0,0,0,0,0,3
39,39,3,0.5,3,0,0,0,0,1,0,1
65,81,3,1.8,2,0,0,0,0,1,0,1
54,35,1,1.5,2,0,0,0,0,1,0,2
58,61,2,2.3,3,193,0,0,0,1,0,3
41,73,3,3.0,1,0,0,0,0,1,0,1
32,112,1,4.6,1,366,0,0,0,0,0,2
54,12,2,0.2,3,0,0,0,0,1,0,3
52,38,3,0.9,3,0,0,0,0,1,0,1
58,73,2,0.7,2,0,0,0,0,1,1,3
37,84,1,3.6,2,0,0,1,0,0,0,2
39,78,4,2.4,1,118,0,0,0,1,0,0
60,80,3,0.5,1,0,0,0,0,1,0,1
31,115,2,1.3,1,101,0,0,0,1,1,3
34,82,1,2.7,2,251,0,0,0,1,0,2
38,74,2,0.0,1,0,0,1,0,1,0,3
41,70,3,0.5,3,0,0,0,0,0,1,1
28,81,3,1.5,1,276,0,0,0,1,0,1
58,149,4,7.2,2,0,1,0,1,1,1,4
31,51,2,1.75,3,0,0,0,0,0,0,3
30,39,3,1.1,2,0,0,0,0,1,0,1
53,98,3,1.8,2,0,0,0,0,0,0,1
58,45,4,2.1,1,0,0,0,0,1,1,0
59,49,4,2.5,2,0,0,0,0,1,0,0
49,128,2,0.4,1,0,0,0,0,0,0,3
59,42,3,1.5,1,0,0,1,1,0,1,1
59,18,1,1.2,3,0,0,0,0,1,0,2
51,31,2,0.4,3,161,0,0,0,1,1,3
35,58,3,2.0,1,149,0,0,0,1,1,1
33,48,1,2.1,3,0,0,0,0,0,1,2
25,54,4,1.6,1,0,0,0,0,1,1,0
49,70,2,1.5,2,0,0,0,0,0,0,3
46,84,1,2.66666666666666,2,0,0,0,0,1,1,2
50,83,4,3.6,3,188,0,0,0,1,0,0
52,163,2,0.4,1,116,0,0,0,1,0,3
48,42,3,2.2,2,0,0,0,0,0,0,1
26,132,3,6.5,3,0,1,0,0,0,1,4
57,24,1,1.3,1,0,0,0,0,1,1,2
60,22,2,1.0,1,0,0,1,1,1,1,3
54,58,4,1.3,3,0,0,0,0,0,0,0
24,60,4,1.6,1,0,0,0,0,1,0,0
26,15,4,0.4,1,0,0,0,0,0,1,0
41,83,4,2.66666666666666,1,0,0,0,0,1,1,0
